symbol,entry_date,exit_date,entry,exit,pnl,r_multiple,fees,holding_days,mae,mfe,reason
ETH,2022-03-25,2022-04-11,3112.305375,3135.05554630294,145.94155562481143,0.29188311124962285,5.33773944275732,17,-0.5570764574147149,1.606422897839488,STOP
BNB,2022-03-31,2022-04-11,442.32105,410.3436441164196,-501.668207954681,-1.0000000000000002,6.6003923071930775,11,-1.6089902599645391,0.5564294621569794,STOP
ETH,2022-10-26,2022-11-08,1460.46987,1462.130186335417,121.14629819233016,0.24315757267783372,5.326758288508844,13,-1.6702717453267728,1.6119716135895872,STOP
LTC,2022-11-03,2022-11-08,60.980475,54.89580008446164,116.3171913529458,0.23138913631077113,5.0511212622039,5,-1.14581981413023,2.043765741468781,STOP
BNB,2022-10-30,2022-11-09,304.65225,285.0163277269434,110.7986063413775,0.22134440114465836,7.710750791888678,10,-2.28038107222992,4.8040888044344126,STOP
BCH,2023-01-13,2023-02-09,119.65979999999999,124.31394483578636,466.4777420568294,0.9227107150513512,5.353080742225269,27,-0.3826838253884737,2.0542462255179976,STOP
ETH,2023-01-10,2023-02-10,1321.0602000000001,1500.149999592247,994.6684414677992,1.9894853891954043,9.981570562415818,31,-0.06286911649609264,5.808771668317851,STOP
LTC,2023-01-10,2023-03-03,81.65080499999999,87.93819138505923,572.2240160340866,1.143393029902953,5.741497781706671,52,-0.30095167015729835,3.2603740165796515,STOP
ETH,2023-04-15,2023-04-19,2101.0399949999996,1941.1871721635753,-511.90823591730515,-1.0,6.391545866132316,4,-1.120393009558354,0.2549065994248179,STOP
LTC,2023-04-17,2023-04-19,100.05,91.47356172872986,-510.69161605127556,-1.0,5.639253976104213,2,-1.5297727878086986,0.39738925292501837,STOP
LINK,2023-04-19,2023-04-19,8.582289,7.769276458406299,-502.3727935887615,-0.9999999999999999,5.001642970059433,0,-1.1769354179579345,0.021889051734770945,STOP
AVAX,2023-04-17,2023-04-20,20.180085000000002,18.32129099402846,-510.25714032037,-0.9999999999999999,5.2303339947673315,3,-1.1083764615575473,0.7460497027928976,STOP
ADA,2023-04-14,2023-04-21,0.42531254999999996,0.38746757384541575,-510.1295282155774,-1.0,5.419716759572039,7,-1.232699548511396,0.9664367328767997,STOP
LTC,2023-05-18,2023-05-24,93.92693999999999,84.71446065793204,-497.40273164511115,-1.0,4.77631857635951,6,-1.0465468244108536,0.03086770826093973,STOP
XRP,2023-05-30,2023-06-10,0.49484729999999993,0.47363726314923876,-114.83410632598503,-0.23202760016004978,7.039830402005435,11,-0.6756317127108014,1.542239915591459,STOP
LINK,2023-07-14,2023-08-04,7.128562499999999,7.0645116773951955,82.20440967053892,0.16629071558663497,5.06844868183168,21,-0.981562091716721,1.9317525295856337,STOP
UNI,2023-08-01,2023-08-05,6.531263999999999,5.988474118226499,-496.28574739327144,-1.0,5.658291966938993,4,-1.0990560076751594,0.3033304472759195,STOP
UNI,2023-10-02,2023-10-04,4.658327999999999,4.325429089474278,-497.8577059323734,-1.0,6.628267338805939,2,-1.2950786951905404,0.08971530005905426,STOP
SOL,2023-10-01,2023-10-09,21.380685,21.93111922043865,228.74938298971932,0.46090399000865734,5.9982647438675505,8,-0.14130360771417563,1.9273652009940574,STOP
ETH,2023-11-10,2023-11-14,2122.390665,1957.8919513200422,-511.8123203998531,-1.0,6.269824882292314,4,-1.1362003751960936,0.08928204172482687,STOP
LINK,2023-09-20,2023-12-11,6.849423,14.118537928576119,3062.80819788582,6.221791090812136,6.636275332760358,82,-0.393703781602809,16.082334952753104,STOP
DOGE,2023-12-05,2023-12-18,0.09192594,0.08634381698774303,-115.17612213033979,-0.22513782311601152,5.114475741799822,13,-0.6184005555599879,1.7142859903303307,STOP
ADA,2023-11-06,2024-01-03,0.34207095,0.53851526608129,1798.6784348044482,3.5678137126512612,5.893382606633265,58,-0.25154731192211277,9.917820562235644,STOP
ETH,2023-12-05,2024-01-03,2244.48168,2130.817572076814,-168.77093318173235,-0.3294703842526883,7.441322976034668,29,-0.9655724972645547,1.3454123248532632,STOP
ETH,2024-02-27,2024-03-15,3177.5379749999997,3607.6575578916077,832.938636887947,1.5746354311194886,7.102892914056807,17,-0.07092455331837605,3.7101312104917867,STOP
UNI,2024-02-10,2024-03-19,6.6573269999999996,10.56437136460172,2156.7085647824706,4.199223961447836,7.171321748963294,38,-0.3212057176292856,18.82502940359628,STOP
BNB,2023-12-27,2024-04-13,297.84884999999997,525.9594968563491,2461.6717900397766,4.753644015314623,6.684968673544447,108,-0.4573062819484767,12.459622863005551,STOP
BNB,2024-06-05,2024-06-10,686.04285,637.6531017858772,-538.5108303953715,-1.0,7.266069420308654,5,-1.5132451976199925,0.7438440412779747,STOP
BNB,2024-09-24,2024-10-01,604.80225,558.6904585223613,-535.8182762433946,-1.0,6.675663126518381,7,-1.4837186950488392,0.3010485627256483,STOP
ADA,2024-09-25,2024-10-01,0.38799389999999995,0.3518470269994064,-534.8024530601693,-0.9999999999999998,5.417627139450934,6,-1.2675231596457393,0.7730173494573943,STOP
DOGE,2024-09-27,2024-10-01,0.118229085,0.1064226732520166,-272.4462447238056,-0.5074384584918387,5.192254711082903,4,-1.3297757079141828,1.180184624598462,STOP
DOT,2024-09-27,2024-10-01,4.816407,4.364023661257849,-538.0811341434893,-1.0,5.404926059844316,4,-1.700147933925965,0.3278385669479584,STOP
XRP,2024-09-30,2024-10-01,0.6415206,0.5863802936798143,-530.2496300625561,-1.0000000000000002,5.838962192141313,1,-1.1617888932635152,0.2421172969056095,STOP
SOL,2024-10-25,2024-10-25,177.278595,160.46927933784414,-522.1933421896432,-1.0,5.194007590919491,0,-1.0854534413969286,0.019212398499563344,STOP
BCH,2024-10-15,2024-11-03,369.7848,335.2804516940187,-523.7612875522275,-1.0,5.2971733867672945,19,-1.04800051896311,0.5712617488374299,STOP
ETH,2024-11-10,2024-12-19,3127.7630999999997,3409.7831181043293,617.8102727384177,1.1914613780979209,5.674414872228987,39,-0.3800276614895508,3.2882830443495723,STOP
SOL,2025-05-09,2025-05-19,164.54223,161.11182444016288,34.72529610525925,0.0665719459396402,5.606269537633521,10,-0.3371587046791724,1.343933180053221,STOP
ETH,2025-06-11,2025-06-13,2817.8182049999996,2536.212579126344,-521.7941922477364,-1.0,4.9135996412483145,2,-1.35850194921586,0.21902859822809279,STOP
BCH,2025-07-12,2025-07-15,531.76575,489.3603845655855,-525.2790000423809,-0.9999999999999998,6.2491496002531886,3,-1.1827581663995752,0.08145645524147858,STOP
BCH,2025-07-21,2025-07-24,548.274,494.7167910361874,-542.6112454376623,-1.0,5.2325452209776495,3,-1.0893696789746172,0.006115206724967265,STOP
