symbol,entry_date,exit_date,entry,exit,pnl,r_multiple,fees,holding_days,mae,mfe,reason
ETH,2022-03-25,2022-04-11,3112.305375,3135.05554630294,145.94155562481143,0.29188311124962285,5.33773944275732,17,-0.5570764574147149,1.606422897839488,STOP
BNB,2022-03-31,2022-04-11,442.32105,410.3436441164196,-501.668207954681,-1.0000000000000002,6.6003923071930775,11,-1.6089902599645391,0.5564294621569794,STOP
BNB,2022-07-19,2022-09-06,264.23205,270.19443389383673,419.14205816562867,0.841276761993526,5.320665114860876,49,-0.9697868675640453,2.857068125310082,STOP
ETH,2022-10-26,2022-11-08,1460.46987,1462.130186335417,121.6558860196839,0.24315757267783372,5.34916467833324,13,-1.6702717453267728,1.6119716135895872,STOP
BCH,2022-11-05,2022-11-08,124.4622,112.13256316870931,-513.971617460577,-1.0,4.8844648047203005,3,-2.400464250146045,0.1252938994329887,STOP
XRP,2022-11-05,2022-11-08,0.5065531499999999,0.4571991264929147,-513.8014148475548,-1.0,4.968078099810093,3,-3.4819760208837045,0.07016444331825165,STOP
LTC,2022-10-26,2022-11-09,55.94796,51.56858457454701,113.6717556745526,0.22634067717922354,6.398197677003365,14,-1.9174939670801594,3.9994779149107584,STOP
BNB,2022-10-29,2022-11-09,298.04894999999993,279.497381992627,110.95062241771612,0.22034296588307553,8.025287716070347,11,-2.0556954780979644,5.44494973201564,STOP
ETH,2022-12-14,2022-12-16,1321.350345,1212.6989001464715,-496.90960318819793,-1.0,5.727851792636434,2,-1.5366806840775131,0.2903393527531096,STOP
ADA,2023-01-07,2023-02-09,0.27863925,0.3546186454956941,1243.7150396858353,2.5154773745285355,7.144581064279322,33,-0.3057214099713187,6.508718031436927,STOP
BCH,2023-01-10,2023-02-09,106.8534,124.31394483578636,1055.9741154784822,2.1128631365740382,9.123240720264981,30,-0.22325035359672402,6.06154236994046,STOP
ETH,2023-01-10,2023-02-10,1321.0602000000001,1500.149999592247,994.7063661188494,1.989485389195405,9.981951139062998,31,-0.06286911649609264,5.808771668317851,STOP
BNB,2023-01-09,2023-02-13,275.03745,295.3608604975209,667.0787621561542,1.3371718430124122,8.815363758457288,35,-0.3063906941093461,3.975206205453822,STOP
DOT,2023-01-09,2023-03-03,4.828412999999999,5.827704001526598,1171.6509419861359,2.350465930319533,8.484808571352996,53,-0.09537004854425501,10.309977872731041,STOP
LTC,2023-01-10,2023-03-03,81.65080499999999,87.93819138505923,572.2458337526608,1.1433930299029533,5.7417166931456975,52,-0.30095167015729835,3.2603740165796515,STOP
DOT,2023-04-14,2023-04-20,6.637317,6.1442666300237185,-523.7449228574338,-1.0,6.701779953711563,6,-1.172131246656672,0.7402045855010053,STOP
ADA,2023-04-14,2023-04-21,0.42531254999999996,0.38746757384541575,-522.8854533315309,-1.0,5.555238224829318,7,-1.232699548511396,0.9664367328767997,STOP
ETH,2023-04-14,2023-04-21,2013.0059999999999,1865.744643265664,-524.2187310723817,-0.9999999999999998,6.814020656400562,7,-1.2848257148534155,0.8783963726315606,STOP
AVAX,2023-04-15,2023-04-21,19.229609999999997,17.53231022873611,-268.05086908789076,-0.5084047127970984,5.778240099824556,6,-1.4862697986537572,1.3801300903665243,STOP
LINK,2023-04-15,2023-04-21,7.7468715,7.104004076058924,-268.1971670389788,-0.5089331831978221,6.146822637141058,6,-1.1588545087040316,1.6441515181138777,STOP
LTC,2023-05-18,2023-05-24,93.92693999999999,84.71446065793204,-510.7796389901353,-1.0000000000000002,4.904770567033066,6,-1.0465468244108536,0.03086770826093973,STOP
BNB,2023-03-17,2023-06-05,329.56469999999996,297.242076490578,-522.9519104681474,-0.9999999999999998,5.021901138394365,80,-1.7891722695179242,0.6351509185191573,STOP
SOL,2023-06-05,2023-06-05,21.840914999999995,20.060307788888537,-507.00594654706975,-1.0,5.896055307292384,0,-1.5875744884039689,0.12373684611309467,STOP
XRP,2023-05-30,2023-06-10,0.49484729999999993,0.47363726314923876,-117.96329648039405,-0.2320276001600497,7.231663374695016,11,-0.6756317127108014,1.542239915591459,STOP
ETH,2023-07-14,2023-07-17,2005.492245,1876.360248518007,-503.00745670675366,-1.0,7.448528305560334,3,-1.0315062993553819,0.1842354189716137,STOP
BNB,2023-07-14,2023-07-18,256.32809999999995,237.69245727503525,-504.12292078877766,-1.0,6.59459998061925,4,-1.0168152172697744,0.2901105085298865,STOP
LINK,2023-07-14,2023-08-04,7.128562499999999,7.0645116773951955,83.42637373678052,0.166290715586635,5.143790895048832,21,-0.981562091716721,1.9317525295856337,STOP
UNI,2023-08-01,2023-08-05,6.531263999999999,5.988474118226499,-501.0603692653559,-1.0,5.712728760108833,4,-1.0990560076751594,0.3033304472759195,STOP
UNI,2023-10-02,2023-10-04,4.658327999999999,4.325429089474278,-502.4263859872145,-1.0,6.689092816503919,2,-1.2950786951905404,0.08971530005905426,STOP
BCH,2023-09-28,2023-10-09,229.41465,218.00953879637828,-69.9548296085029,-0.13954970648212886,5.004766566778364,11,-0.8358712345914894,1.2033104492426168,STOP
SOL,2023-10-01,2023-10-09,21.380685,21.93111922043865,231.92098513775173,0.4609039900086573,6.081430473529748,8,-0.14130360771417563,1.9273652009940574,STOP
ADA,2023-10-02,2023-10-09,0.26603295,0.25054896406573235,-505.13063400050794,-1.0,8.287916403929492,7,-1.1220355542171534,0.23225024871947728,STOP
AVAX,2023-10-02,2023-10-12,9.754875,9.042658818956497,113.22683209347161,0.22465775580392588,6.873140021408119,10,-1.2362359201750952,3.002892824531621,STOP
BNB,2023-10-24,2023-11-14,228.71429999999998,235.2894176066874,482.84453358844513,0.9608189338749829,9.080343644067383,21,-0.7503490728415293,2.3096284374589,STOP
XRP,2023-10-25,2023-11-14,0.55897935,0.6092364077150351,614.66915758075,1.2225525499251892,5.893074399476445,20,-0.5343774032988855,3.854970719578283,STOP
LINK,2023-09-19,2023-12-11,6.5692829999999995,14.118537928576119,3387.461155588634,6.8158295717734765,6.968376969400897,83,-0.08896635593313229,17.626291483192002,STOP
BCH,2023-12-05,2023-12-11,252.42615,232.01620099372153,-545.6255591660882,-1.0,6.3994274286471455,6,-2.0856605049646553,0.6343709619665202,STOP
DOGE,2023-10-24,2023-12-18,0.06745370999999999,0.08634381698774303,1331.7934692193417,2.6538549430312384,7.614258913996976,55,-0.685161446349319,8.339511345859757,STOP
BNB,2023-12-13,2023-12-18,254.72729999999999,235.35080583173982,-561.9415193849682,-1.0,7.01767879971739,5,-1.1801019442645009,0.06089177113159086,STOP
ADA,2023-10-24,2024-01-03,0.2809404,0.53851526608129,3629.664198233916,7.21928685699184,8.955118096970315,71,-0.3939876778108322,20.578054174142686,STOP
