symbol,entry_date,exit_date,entry,exit,pnl,r_multiple,fees,holding_days,mae,mfe,reason
ETH,2022-03-25,2022-04-11,3112.305375,3135.05554630294,145.94155562481143,0.29188311124962285,5.33773944275732,17,-0.5570764574147149,1.606422897839488,STOP
BNB,2022-03-31,2022-04-11,442.32105,410.3436441164196,-501.668207954681,-1.0000000000000002,6.6003923071930775,11,-1.6089902599645391,0.5564294621569794,STOP
BNB,2022-07-19,2022-09-06,264.23205,270.19443389383673,419.14205816562867,0.841276761993526,5.320665114860876,49,-0.9697868675640453,2.857068125310082,STOP
BNB,2022-11-01,2022-11-08,325.9629,298.91160415934866,-254.62771010005494,-0.5089326784766229,5.835492653357763,7,-1.0394447991026687,2.6889350667194645,STOP
ETH,2023-01-15,2023-02-10,1550.684955,1500.149999592247,-37.298807486200666,-0.07474052805832092,6.234543954306938,26,-0.49900456834201484,1.3485101313901349,STOP
ETH,2023-04-15,2023-04-19,2101.0399949999996,1941.1871721635753,-500.5968489050429,-1.0000000000000002,6.250314989530192,4,-1.120393009558354,0.2549065994248179,STOP
LTC,2023-04-17,2023-04-19,100.05,91.47356172872986,-499.40711209575255,-1.0,5.514646127062968,2,-1.5297727878086986,0.39738925292501837,STOP
LINK,2023-04-19,2023-04-19,8.582289,7.769276458406299,-491.2721066022918,-1.0,4.8911241009302335,0,-1.1769354179579345,0.021889051734770945,STOP
AVAX,2023-04-17,2023-04-20,20.180085000000002,18.32129099402846,-498.9822367635022,-1.0000000000000002,5.114761851427636,3,-1.1083764615575473,0.7460497027928976,STOP
ADA,2023-04-14,2023-04-21,0.42531254999999996,0.38746757384541575,-498.85744444124765,-0.9999999999999999,5.299959917499533,7,-1.232699548511396,0.9664367328767997,STOP
LINK,2023-07-14,2023-08-04,7.128562499999999,7.0645116773951955,80.885777216619,0.16629071558663502,4.9871462194737965,21,-0.981562091716721,1.9317525295856337,STOP
UNI,2023-10-02,2023-10-04,4.658327999999999,4.325429089474278,-492.9704868307575,-1.0,6.563200966702363,2,-1.2950786951905404,0.08971530005905426,STOP
SOL,2023-10-01,2023-10-09,21.380685,21.93111922043865,226.53629693171936,0.4609039900086573,5.9402332165106335,8,-0.14130360771417563,1.9273652009940574,STOP
ETH,2023-11-10,2023-11-14,2122.390665,1957.8919513200422,-507.7637010364636,-0.9999999999999999,6.220228314543263,4,-1.1362003751960936,0.08928204172482687,STOP
LINK,2023-09-19,2023-12-11,6.5692829999999995,14.118537928576119,3318.056896641987,6.815829571773476,6.82560484083368,83,-0.08896635593313229,17.626291483192002,STOP
DOGE,2023-12-05,2023-12-18,0.09192594,0.08634381698774303,-114.27103772470441,-0.22513782311601147,5.074284839803098,13,-0.6184005555599879,1.7142859903303307,STOP
ADA,2023-11-06,2024-01-03,0.34207095,0.53851526608129,1783.4039308960548,3.5678137126512612,5.843335586600768,58,-0.25154731192211277,9.917820562235644,STOP
ETH,2023-12-05,2024-01-03,2244.48168,2130.817572076814,-167.4446865871957,-0.3294703842526885,7.382847093548513,29,-0.9655724972645547,1.3454123248532632,STOP
ETH,2024-02-27,2024-03-15,3177.5379749999997,3607.6575578916077,826.0793501031534,1.5746354311194886,7.044400274453453,17,-0.07092455331837605,3.7101312104917867,STOP
UNI,2024-02-10,2024-03-19,6.6573269999999996,10.56437136460172,2138.947964798273,4.199223961447837,7.11226556537821,38,-0.3212057176292856,18.82502940359628,STOP
BNB,2023-12-27,2024-04-13,297.84884999999997,525.9594968563491,2441.4011520287004,4.753644015314621,6.6299212945050945,108,-0.4573062819484767,12.459622863005551,STOP
BNB,2024-06-05,2024-06-10,686.04285,637.6531017858772,-534.0761729793954,-1.0,7.206233058956161,5,-1.5132451976199925,0.7438440412779747,STOP
BNB,2024-09-24,2024-10-01,604.80225,558.6904585223613,-531.4057921144985,-1.0000000000000002,6.620688783720414,7,-1.4837186950488392,0.3010485627256483,STOP
ADA,2024-09-25,2024-10-01,0.38799389999999995,0.3518470269994064,-530.398334274287,-1.0,5.373012771429181,6,-1.2675231596457393,0.7730173494573943,STOP
DOGE,2024-09-27,2024-10-01,0.118229085,0.1064226732520166,-270.2026394118526,-0.5074384584918387,5.149496293683507,4,-1.3297757079141828,1.180184624598462,STOP
DOT,2024-09-27,2024-10-01,4.816407,4.364023661257849,-533.6500152926867,-0.9999999999999998,5.360416285701996,4,-1.700147933925965,0.3278385669479584,STOP
XRP,2024-09-30,2024-10-01,0.6415206,0.5863802936798143,-525.8830039493001,-0.9999999999999998,5.7908781137431635,1,-1.1617888932635152,0.2421172969056095,STOP
SOL,2024-10-25,2024-10-25,177.278595,160.46927933784414,-517.8930599171131,-0.9999999999999998,5.151234738487171,0,-1.0854534413969286,0.019212398499563344,STOP
BCH,2024-10-15,2024-11-03,369.7848,335.2804516940187,-519.4480931892853,-1.0,5.253550960035243,19,-1.04800051896311,0.5712617488374299,STOP
ETH,2024-11-10,2024-12-19,3127.7630999999997,3409.7831181043293,612.7225813624541,1.191461378097921,5.627685847343862,39,-0.3800276614895508,3.2882830443495723,STOP
SOL,2025-05-09,2025-05-19,164.54223,161.11182444016288,34.439331955230756,0.06657194593964019,5.560101692201753,10,-0.3371587046791724,1.343933180053221,STOP
ETH,2025-06-11,2025-06-13,2817.8182049999996,2536.212579126344,-517.4971969903416,-0.9999999999999998,4.873135959074645,2,-1.35850194921586,0.21902859822809279,STOP
BCH,2025-07-12,2025-07-15,531.76575,489.3603845655855,-520.9533072586647,-1.0,6.197687612760832,3,-1.1827581663995752,0.08145645524147858,STOP
BCH,2025-07-21,2025-07-24,548.274,494.7167910361874,-538.1428209459854,-1.0,5.189455009678461,3,-1.0893696789746172,0.006115206724967265,STOP
SOL,2025-07-17,2025-07-30,173.70681,170.36089586797772,44.46789752857018,0.08440473310326684,5.498489446141621,13,-0.3032826542574023,1.978251959533355,STOP
LTC,2025-07-18,2025-08-01,101.65079999999999,103.21096135582869,424.1783147380078,0.8044321850597145,5.634913009039394,14,-0.20425384476710257,2.11755874669339,STOP
ETH,2025-07-10,2025-08-02,2770.1243699999995,3414.7905067736015,1038.1180627465087,2.0161166910593415,6.244548589193608,23,-0.05960567778525108,4.772228515032447,STOP
XRP,2025-07-10,2025-08-02,2.4050019,2.859250248299346,975.2655752148645,1.8872457098062363,6.877878504524775,23,-0.06225600917870252,6.568258214174262,STOP
DOT,2025-09-14,2025-09-15,4.4942459999999995,4.104394719492778,-533.7582545246933,-1.0,5.822134295401574,1,-1.006312418082699,0.009680296063209266,STOP
ETH,2025-08-09,2025-09-22,4011.514755,4340.966218146754,598.8832282360515,1.1385515194252676,5.587738232714794,44,-0.012410563479703415,2.4016095644980755,STOP
